libxfce4util 4.12.1-1
libxfixes 5.0.2-1
libxfont 1.5.1-1
libxft 2.3.2-1
libxi 1.7.6-1
libxinerama 1.1.3-2
libxkbcommon 0.6.1-1
libxkbcommon-x11 0.6.1-1
libxkbfile 1.0.9-1
libxklavier 5.4-1
libxml2 2.9.4+0+gbdec218-2
libxmu 1.1.2-1
libxp 1.0.3-1
libxpm 3.5.11-1
libxrandr 1.5.0-1
libxrender 0.9.9-1
libxres 1.0.7-1
libxshmfence 1.2-1
libxslt 1.1.29-1
libxss 1.2.2-2
libxt 1.1.5-1
libxtst 1.2.2-1
libxv 1.0.10-1
libxvmc 1.0.9-1
libxxf86dga 1.1.4-1
libxxf86vm 1.1.4-1
libyaml 0.1.6-1
libzapojit 0.0.3-2
licenses 20140629-1
linux 4.6.2-1
linux-api-headers 4.5.5-1
linux-firmware 20160516.80d463b-1
linux-headers 4.6.2-1
linux-lts 4.4.13-1
linux-lts-headers 4.4.13-1
linux-zen 4.6.2-1
linux-zen-headers 4.6.2-1
llvm-libs 3.8.0-1
logisim 2.7.1-7
logrotate 3.9.2-1
lolcat 42.1.43-2
lpsolve 5.5.2.3-1
lsof 4.89-1
lua 5.3.3-1
lua51 5.1.5-5
lua52 5.2.4-1
lua52-bitop 1.0.2-7
lua52-expat 1.3.0-3
lua52-lpeg 1.0.0-1
lua52-luajson 1.3.3-2
lua52-socket 20160311-1
lvm2 2.02.155-1
lz4 131-1
lzo 2.09-1
m17n-db 1.7.0-1
m17n-lib 1.7.0-1
m4 1.4.17-2
make 4.2.1-1
man-db 2.7.5-2
man-pages 4.06-1
mdadm 3.4-1
mdp-git 1.0.5-1
mercurial 3.8.3-1
mesa 11.2.2-1
mesa-libgl 11.2.2-1
mesa-vdpau 11.2.2-1
mime-types 9-1
mjpegtools 2.1.0-2
mkinitcpio 19-1
mkinitcpio-busybox 1.24.1-1
mobile-broadband-provider-info 20151214-1
modemmanager 1.4.14-1
moka-icon-theme-git 432.f5cdd98-1
mozilla-common 1.4-4
mpc 0.27-1
mpd 0.19.16-1
mpfr 3.1.4.p1-1
mpg123 1.23.3-1
mtdev 1.1.5-1
muffin 3.0.4-1
mupdf 1.9_a-3
musicbrainz 2.1.5-7
